Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,genres
2020-10-20,The Maltese Falcon,1941.0,https://boxd.it/1pK07h,4.0,,hbomax,2020-10-19,"['Mystery', 'Crime', 'Thriller']"
2020-10-19,Persona,1966.0,https://boxd.it/1pDFnB,5.0,,hbomax,2020-10-18,['Drama']
2020-10-19,The Truman Show,1998.0,https://boxd.it/1pD8xt,4.0,Yes,,2020-10-18,"['Comedy', 'Drama']"
2020-10-19,[REC],2007.0,https://boxd.it/1pyP1F,3.5,Yes,,2020-10-18,"['Thriller', 'Horror']"
2020-10-18,Blood Diamond,2006.0,https://boxd.it/1pwgHd,3.5,,,2020-10-18,"['Drama', 'Thriller', 'Action']"
2020-10-18,Moneyball,2011.0,https://boxd.it/1pvVqF,4.0,Yes,,2020-10-17,['Drama']
2020-10-17,Underwater,2020.0,https://boxd.it/1poBJt,3.0,,,2020-10-17,"['Horror', 'Science Fiction', 'Action', 'Adventure']"
2020-10-17,Moonlight,2016.0,https://boxd.it/1pnxVN,5.0,Yes,,2020-10-16,['Drama']
2020-10-16,In Bruges,2008.0,https://boxd.it/1pdJAH,4.5,,hbomax,2020-10-15,"['Comedy', 'Drama', 'Crime']"
2020-10-16,Seven Samurai,1954.0,https://boxd.it/1phn6N,5.0,Yes,,2020-10-15,"['Action', 'Drama']"
2020-10-15,Hunt for the Wilderpeople,2016.0,https://boxd.it/1p9abp,4.0,,netflix,2020-10-14,"['Adventure', 'Comedy', 'Drama']"
2020-10-14,Midsommar,2019.0,https://boxd.it/1p5FOT,4.0,,,2020-10-13,"['Horror', 'Drama', 'Mystery']"
2020-10-14,Sleepy Hollow,1999.0,https://boxd.it/1p4NYZ,3.0,,netflix,2020-10-13,"['Drama', 'Fantasy', 'Thriller', 'Mystery', 'Horror']"
2020-10-14,Suspiria,1977.0,https://boxd.it/1p3QWZ,4.0,,,2020-10-13,"['Fantasy', 'Horror', 'Thriller', 'Drama']"
2020-10-14,The Lobster,2015.0,https://boxd.it/1p3qUj,3.5,,,2020-10-13,"['Comedy', 'Drama', 'Romance']"
2020-10-13,Evil Dead II,1987.0,https://boxd.it/1oYCzx,4.0,,,2020-10-12,"['Horror', 'Comedy', 'Fantasy']"
2020-10-11,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,https://boxd.it/1oMFkh,3.5,Yes,,2020-10-11,"['Adventure', 'Fantasy', 'Action']"
2020-10-12,About Time,2013.0,https://boxd.it/1oSC3p,3.5,,,2020-10-11,"['Drama', 'Romance', 'Fantasy']"
2020-10-12,Used Cars,1980.0,https://boxd.it/1oQQQL,3.0,,,2020-10-11,['Comedy']
2020-10-12,Armageddon,1998.0,https://boxd.it/1oPYyt,3.0,Yes,showtime,2020-10-11,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
2020-10-12,Scanners,1981.0,https://boxd.it/1oTNZr,3.5,,hbomax,2020-10-11,"['Science Fiction', 'Horror']"
2020-10-14,The Devil All the Time,2020.0,https://boxd.it/1p3XkD,4.0,,netflix,2020-10-11,"['Crime', 'Drama', 'Thriller']"
2020-10-10,Enola Holmes,2020.0,https://boxd.it/1oCfkP,3.0,,,2020-10-09,"['Adventure', 'Mystery', 'Comedy', 'Crime']"
2020-10-09,Hubie Halloween,2020.0,https://boxd.it/1oy7Kn,3.0,,,2020-10-09,"['Comedy', 'Mystery', 'Horror']"
2020-10-09,The Royal Tenenbaums,2001.0,https://boxd.it/1otTcX,4.5,,amazonprime,2020-10-08,"['Comedy', 'Drama']"
2020-10-08,The Evil Dead,1981.0,https://boxd.it/1os6il,3.5,,,2020-10-08,['Horror']
2020-10-08,Sleepless in Seattle,1993.0,https://boxd.it/1orHNt,3.0,,,2020-10-07,"['Comedy', 'Drama', 'Romance']"
2020-10-08,Nightcrawler,2014.0,https://boxd.it/1oo3pl,4.0,,,2020-10-07,"['Crime', 'Drama', 'Thriller']"
2020-10-07,Anaconda,1997.0,https://boxd.it/1ohi9X,3.0,,,2020-10-06,"['Adventure', 'Horror', 'Thriller']"
2020-10-06,Glory,1989.0,https://boxd.it/1ofqlX,3.5,,netflix,2020-10-06,"['Drama', 'History', 'War']"
2020-10-07,Three Kings,1999.0,https://boxd.it/1ol9EF,3.5,,,2020-10-06,"['Action', 'Comedy', 'War']"
2020-10-06,The Town,2010.0,https://boxd.it/1ofaOf,3.5,Yes,,2020-10-05,"['Crime', 'Drama', 'Thriller']"
2021-03-15,South Park: The Pandemic Special,2020.0,https://boxd.it/1IUAnV,3.5,,hbomax,2020-10-05,[]
2020-10-05,Close Encounters of the Third Kind,1977.0,https://boxd.it/1o9sSn,3.5,,amazonprime,2020-10-05,"['Science Fiction', 'Drama']"
2020-10-06,Empire of Dreams: The Story of the Star Wars Trilogy,2004.0,https://boxd.it/1oe6bL,3.0,,,2020-10-05,['Documentary']
2020-10-05,Who Framed Roger Rabbit,1988.0,https://boxd.it/1o5ztr,4.0,Yes,,2020-10-04,"['Fantasy', 'Animation', 'Comedy', 'Crime']"
2020-10-05,Badlands,1973.0,https://boxd.it/1o40vv,4.5,,,2020-10-04,"['Crime', 'Drama', 'Thriller', 'Romance']"
2020-10-03,The Handmaiden,2016.0,https://boxd.it/1nQd1Z,4.5,Yes,,2020-10-02,"['Thriller', 'Drama', 'Romance']"
2020-10-03,The Handmaiden,2016.0,https://boxd.it/1nQcZf,4.5,,,2020-10-02,"['Thriller', 'Drama', 'Romance']"
2020-10-06,Before Sunrise,1995.0,https://boxd.it/1oe9Mb,4.5,,,2020-10-02,"['Drama', 'Romance']"
2020-10-03,Before Sunset,2004.0,https://boxd.it/1nQcWZ,5.0,Yes,,2020-10-01,"['Drama', 'Romance']"
2020-10-03,Before Sunset,2004.0,https://boxd.it/1nQcTr,5.0,,,2020-10-01,"['Drama', 'Romance']"
2020-10-02,The Witch,2015.0,https://boxd.it/1nL0Un,3.5,,,2020-10-01,"['Drama', 'Fantasy', 'Horror', 'Mystery']"
2020-10-01,The Ritual,2017.0,https://boxd.it/1nGzGv,3.0,,,2020-10-01,"['Horror', 'Thriller', 'Mystery']"
2020-10-01,Indiana Jones and the Last Crusade,1989.0,https://boxd.it/1nDrEl,4.0,Yes,,2020-09-30,"['Adventure', 'Action']"
2020-09-30,The Thing,1982.0,https://boxd.it/1nAZwT,4.5,,,2020-09-30,"['Horror', 'Mystery', 'Science Fiction']"
2020-10-01,Back to the Future,1985.0,https://boxd.it/1nFkZF,5.0,Yes,,2020-09-30,"['Adventure', 'Comedy', 'Science Fiction']"
2020-10-14,Tenet,2020.0,https://boxd.it/1p3X1r,4.0,,imax,2020-09-29,"['Action', 'Thriller', 'Science Fiction']"
2020-09-29,The Way Back,2020.0,https://boxd.it/1ntUu5,3.5,,,2020-09-28,"['Drama', 'Adventure', 'History']"
2020-09-29,Spotlight,2015.0,https://boxd.it/1nv8pv,4.0,,,2020-09-28,"['Drama', 'History']"
2020-09-28,An American Pickle,2020.0,https://boxd.it/1nn2vV,3.0,,,2020-09-27,"['Comedy', 'Drama']"
2020-09-26,Bird Box,2018.0,https://boxd.it/1nbivD,3.0,,,2020-09-26,"['Thriller', 'Drama', 'Science Fiction']"
2020-09-26,Police Story,1985.0,https://boxd.it/1naSTz,4.0,,,2020-09-26,"['Action', 'Thriller', 'Crime', 'Drama']"
2020-09-26,Blade II,2002.0,https://boxd.it/1naLcN,3.0,,,2020-09-25,"['Fantasy', 'Horror', 'Action', 'Thriller']"
2020-09-26,Split,2016.0,https://boxd.it/1naLzd,3.5,,,2020-09-24,"['Horror', 'Thriller']"
2020-09-26,Sunset Boulevard,1950.0,https://boxd.it/1naLuR,5.0,,,2020-09-23,['Drama']
2020-09-26,Call Me by Your Name,2017.0,https://boxd.it/1naLpH,4.0,,,2020-09-23,"['Romance', 'Drama']"
2020-09-17,Lean On Me,1989.0,https://boxd.it/1mdXdZ,3.5,,hbomax,2020-09-16,['Drama']
2020-10-14,I'm Thinking of Ending Things,2020.0,https://boxd.it/1p3WrD,4.5,,top2020,2020-09-04,"['Drama', 'Fantasy', 'Mystery', 'Thriller']"
2020-07-09,The Mist,2007.0,https://boxd.it/1eTMtp,2.5,Yes,,2020-07-08,"['Horror', 'Science Fiction', 'Thriller']"
2020-07-08,Doctor Sleep,2019.0,https://boxd.it/1eNqu9,4.0,,,2020-07-07,"['Horror', 'Thriller', 'Fantasy']"
2020-05-16,Apollo 18,2011.0,https://boxd.it/19cC6J,1.5,,,2020-05-15,"['Horror', 'Thriller', 'Science Fiction']"
2020-05-13,John Henry,2020.0,https://boxd.it/18RoWJ,2.0,,,2020-05-12,"['Drama', 'Thriller']"
2020-05-07,The Intent,2016.0,https://boxd.it/18avRv,1.0,,,2020-05-07,"['Crime', 'Drama']"
2020-12-08,Harakiri,1962.0,https://boxd.it/1v6C1b,5.0,,,2020-02-04,['Drama']
2020-09-30,Ford v Ferrari,2019.0,https://boxd.it/1nxHk5,4.0,,,2019-12-19,"['Drama', 'Action', 'History']"
